Country,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita
Denmark,Western Europe,north,7.526,928,53.579,224,81,278
Switzerland,Western Europe,north,7.509,943,79.866,185,100,280
Iceland,Western Europe,north,7.501,933,60.53,233,61,78
Norway,Western Europe,north,7.498,951,70.89,169,71,129
Finland,Western Europe,north,7.413,918,43.433,263,133,97
Netherlands,Western Europe,north,7.339,928,45.638,251,88,190
New Zealand,Australia and New Zealand,south,7.334,915,40.332,203,79,175
Sweden,Western Europe,north,7.291,932,51.845,152,60,186
Germany,Western Europe,north,6.994,934,42.233,346,117,175
Luxembourg,Western Europe,north,6.871,904,100.739,236,133,271
